Abbreviation	Subsystem_new	removed_duplicate_subsystem	evidence
r_0130	sce00100  steroid biosynthesis 		
r_0131	sce00100  steroid biosynthesis 		
r_0132	sce00100  steroid biosynthesis 		
r_0133	sce00100  steroid biosynthesis 		
r_0134	sce00100  steroid biosynthesis 		
r_0135	sce00100  steroid biosynthesis 		
r_0137	sce00563  glycosylphosphatidylinositol gpi)-anchor biosynthesis 		
r_0138	sce00230  purine metabolism 		
r_0139	sce00230  purine metabolism 		
r_0140	sce00230  purine metabolism 		
r_0142	sce00230  purine metabolism 		
r_0143	sce00230  purine metabolism 		
r_0144	sce00270  cysteine and methionine metabolism 		
r_0145	sce00330  arginine and proline metabolism 	sce00270 Cysteine and methionine metabolism	ito980
r_0146	sce00780  biotin metabolism 		
r_0147	sce00230  purine metabolism 	sce04113 Meiosis - yeast   sce04213 Longevity regulating pathway - multiple species	ito980
r_0148	sce00230  purine metabolism 	sce00730 Thiamine metabolism	MNX
r_0149	sce00230  purine metabolism 	sce00730 Thiamine metabolism	MNX
r_0150	sce00230  purine metabolism 	sce00730 Thiamine metabolism	MNX
r_0151	sce00230  purine metabolism 	sce00250 Alanine, aspartate and glutamate metabolism	kegg and MNX
r_0152	sce00230  purine metabolism 	sce00250 Alanine, aspartate and glutamate metabolism	ito980
r_0153	sce00230  purine metabolism 	sce00250 Alanine, aspartate and glutamate metabolism	ito980
r_0154	sce00920  sulfur metabolism 	sce00230 Purine metabolism	MNX
r_0155	other		ito980
r_0156	sce00250  alanine, aspartate and glutamate metabolism 	sce00260 Glycine, serine and threonine metabolism   sce00630 Glyoxylate and dicarboxylate metabolism   sce04146 Peroxisome	MNX
r_0157	sce00970  aminoacyl-trna biosynthesis 		
r_0158	complex alcohol metabolism		ito980 and imm904
r_0159	complex alcohol metabolism		ito980 and imm904
r_0160	complex alcohol metabolism		ito980 and imm904
r_0161	complex alcohol metabolism		ito980 and imm904
r_0162	complex alcohol metabolism		ito980 and imm904
r_0163	sce00010  glycolysis / gluconeogenesis 	sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	MNX
r_0164	sce00561  glycerolipid metabolism 	sce00040 Pentose and glucuronate interconversions	MNX
r_0165	sce00010  glycolysis / gluconeogenesis 	sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	MNX
r_0166	complex alcohol metabolism	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	imm904
r_0167	complex alcohol metabolism	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	imm904
r_0168	complex alcohol metabolism	sce00010 Glycolysis   Gluconeogenesis   sce00040 Pentose and glucuronate interconversions   sce00561 Glycerolipid metabolism	imm904
r_0169	sce00360  phenylalanine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	MNX
r_0170	sce00360  phenylalanine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	MNX
r_0171	sce00360  phenylalanine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00040 Pentose and glucuronate interconversions   sce00561 Glycerolipid metabolism	imm904
r_0172	sce00410  beta-alanine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00340 Histidine metabolism   sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism	kegg and MNX
r_0173	sce00010  glycolysis / gluconeogenesis 	sce00071 Fatty acid degradation   sce00280 Valine, leucine and isoleucine degradation   sce00310 Lysine degradation   sce00330 Arginine and proline metabolism   sce00340 Histidine metabolism   sce00380 Tryptophan metabolism   sce00410 beta-Alanine metabolism   sce00561 Glycerolipid metabolism   sce00620 Pyruvate metabolism	recon3D
r_0174	sce00010  glycolysis / gluconeogenesis 	sce00071 Fatty acid degradation   sce00280 Valine, leucine and isoleucine degradation   sce00310 Lysine degradation   sce00330 Arginine and proline metabolism   sce00340 Histidine metabolism   sce00380 Tryptophan metabolism   sce00410 beta-Alanine metabolism   sce00561 Glycerolipid metabolism   sce00620 Pyruvate metabolism	recon3D
r_0175	sce00620  pyruvate metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00280 Valine, leucine and isoleucine degradation   sce00310 Lysine degradation   sce00330 Arginine and proline metabolism   sce00340 Histidine metabolism   sce00380 Tryptophan metabolism   sce00410 beta-Alanine metabolism   sce00561 Glycerolipid metabolism	imm904
r_0176	sce00380  tryptophan metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00280 Valine, leucine and isoleucine degradation   sce00310 Lysine degradation   sce00330 Arginine and proline metabolism   sce00340 Histidine metabolism   sce00380 Tryptophan metabolism   sce00410 beta-Alanine metabolism   sce00561 Glycerolipid metabolism   sce00620 Pyruvate metabolism	kegg and MNX
r_0177	sce00380  tryptophan metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00280 Valine, leucine and isoleucine degradation   sce00310 Lysine degradation   sce00330 Arginine and proline metabolism   sce00340 Histidine metabolism   sce00380 Tryptophan metabolism   sce00410 beta-Alanine metabolism   sce00561 Glycerolipid metabolism   sce00620 Pyruvate metabolism	kegg
r_0178	sce00380  tryptophan metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00280 Valine, leucine and isoleucine degradation   sce00310 Lysine degradation   sce00330 Arginine and proline metabolism   sce00340 Histidine metabolism   sce00380 Tryptophan metabolism   sce00410 beta-Alanine metabolism   sce00561 Glycerolipid metabolism   sce00620 Pyruvate metabolism	kegg
r_0179	complex alcohol metabolism	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	imm904
r_0180	complex alcohol metabolism	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	imm904
r_0181	complex alcohol metabolism	sce00010 Glycolysis   Gluconeogenesis   sce00040 Pentose and glucuronate interconversions   sce00561 Glycerolipid metabolism	imm904
r_0182	complex alcohol metabolism	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	imm904
r_0183	complex alcohol metabolism	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	imm904
r_0184	complex alcohol metabolism	sce00010 Glycolysis   Gluconeogenesis   sce00040 Pentose and glucuronate interconversions   sce00561 Glycerolipid metabolism	imm904
r_0185	sce00360  phenylalanine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00340 Histidine metabolism   sce00410 beta-Alanine metabolism   sce00350 Tyrosine metabolism	ito980 and imm904
r_0186	sce00350  tyrosine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	MNX
r_0187	sce00350  tyrosine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	MNX
r_0188	sce00790  folate biosynthesis 	sce00730 Thiamine metabolism	ito980 and imm904
r_0189	sce00230  purine metabolism 		
r_0190	sce00230  purine metabolism 		
r_0191	sce00220  arginine biosynthesis 	sce00791 Atrazine degradation	kegg and MNX
r_0192	sce00513  various types of n-glycan biosynthesis 	sce00514 Other types of O-glycan biosynthesis	MNX
r_0193	sce00500  starch and sucrose metabolism 		
r_0194	sce00500  starch and sucrose metabolism 		
r_0195	sce00500  starch and sucrose metabolism 		
r_0198	sce00500  starch and sucrose metabolism 	sce00052 Galactose metabolism	MNX
r_0199	sce00330  arginine and proline metabolism 	sce00970 Aminoacyl-tRNA biosynthesis	"MNX; Wrong gene information"
r_0200	sce00260  glycine, serine and threonine metabolism 		MNX
r_0201	sce00330  arginine and proline metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00071 Fatty acid degradation   sce00280 Valine, leucine and isoleucine degradation   sce00310 Lysine degradation   sce00340 Histidine metabolism   sce00380 Tryptophan metabolism   sce00410 beta-Alanine metabolism   sce00561 Glycerolipid metabolism   sce00620 Pyruvate metabolism	MNX
r_0202	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		
r_0203	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		
r_0204	sce00230  purine metabolism 		
r_0205	sce00040  pentose and glucuronate interconversions 		
r_0206	sce00220  arginine biosynthesis 	sce00330 Arginine and proline metabolism	MNX
r_0207	sce00220  arginine biosynthesis 	sce00250 Alanine, aspartate and glutamate metabolism	MNX
r_0208	sce00220  arginine biosynthesis 	sce00250 Alanine, aspartate and glutamate metabolism	MNX
r_0209	sce00970  aminoacyl-trna biosynthesis 		
r_0210	sce00970  aminoacyl-trna biosynthesis 		
r_0211	sce00250  alanine, aspartate and glutamate metabolism 		
r_0212	sce00970  aminoacyl-trna biosynthesis 		
r_0213	sce00970  aminoacyl-trna biosynthesis 		
r_0214	sce00240  pyrimidine metabolism 	sce00250 Alanine, aspartate and glutamate metabolism	imm904
r_0215	sce00260  glycine, serine and threonine metabolism 	sce00300 Lysine biosynthesis   sce00261 Monobactam biosynthesis   sce00270 Cysteine and methionine metabolism   sce00300 Lysine biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0216	sce00250  alanine, aspartate and glutamate metabolism 	sce00220 Arginine biosynthesis   sce00270 Cysteine and methionine metabolism   sce00330 Arginine and proline metabolism   sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism   sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis   sce01210 2-Oxocarboxylic acid metabolism	ito980 and imm904
r_0217	sce00250  alanine, aspartate and glutamate metabolism 	sce00220 Arginine biosynthesis   sce00270 Cysteine and methionine metabolism   sce00330 Arginine and proline metabolism   sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism   sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis   sce01210 2-Oxocarboxylic acid metabolism	ito980 and imm904
r_0218	sce00250  alanine, aspartate and glutamate metabolism 	sce00220 Arginine biosynthesis   sce00270 Cysteine and methionine metabolism   sce00330 Arginine and proline metabolism   sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism   sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis   sce01210 2-Oxocarboxylic acid metabolism	ito980 and imm904
r_0219	sce00260  glycine, serine and threonine metabolism 	sce00300 Lysine biosynthesis   sce00261 Monobactam biosynthesis   sce00270 Cysteine and methionine metabolism   sce00300 Lysine biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0220	sce00970  aminoacyl-trna biosynthesis 		
r_0221	sce00970  aminoacyl-trna biosynthesis 		
r_0222	sce00230  purine metabolism 		
r_0223	sce00230  purine metabolism 	sce00920 Sulfur metabolism	kegg
r_0224	sce00230  purine metabolism 	sce00920 Sulfur metabolism	kegg
r_0225	sce00340  histidine metabolism 		
r_0226	sce00190  oxidative phosphorylation 		
r_0227	sce00190  oxidative phosphorylation 	sce00230 Purine metabolism   sce00240 Pyrimidine metabolism	"kegg; wrong reaction formula?"
r_0228	sce00510  n-glycan biosynthesis 	sce00513 Various types of N-glycan biosynthesis	kegg
r_0229	sce00780  biotin metabolism 		
r_0230	sce00780  biotin metabolism 		
r_0231	sce00100  steroid biosynthesis 		ito980
r_0233	sce00100  steroid biosynthesis 		ito980
r_0234	sce00100  steroid biosynthesis 		ito980
r_0235	sce00100  steroid biosynthesis 		ito980
r_0236	sce00100  steroid biosynthesis 		ito980
r_0237	sce00100  steroid biosynthesis 		ito980
r_0238	sce00100  steroid biosynthesis 		ito980
r_0239	sce00100  steroid biosynthesis 		ito980
r_0240	sce00100  steroid biosynthesis 		ito980
r_0241	sce00100  steroid biosynthesis 		ito980
r_0242	sce00100  steroid biosynthesis 		ito980
r_0243	sce00100  steroid biosynthesis 		ito980
r_0244	sce00100  steroid biosynthesis 		ito980
r_0249	Terpenoid backbone biosynthesis	sce00900 Terpenoid backbone biosynthesis	"MNX; wrong gene information?"
r_0250	sce00240  pyrimidine metabolism 	sce00250 Alanine, aspartate and glutamate metabolism	recon3D
r_0252	sce04146  peroxisome 		
r_0253	sce04146  peroxisome 		
r_0254	sce04146  peroxisome 		
r_0255	sce00630  glyoxylate and dicarboxylate metabolism 	sce00380 Tryptophan metabolism	MNX
r_0256	sce00630  glyoxylate and dicarboxylate metabolism 	sce00380 Tryptophan metabolism	MNX
r_0259	sce00600  sphingolipid metabolism 		
r_0260	sce00600  sphingolipid metabolism 		ito980
r_0261	sce00600  sphingolipid metabolism 		
r_0262	sce00600  sphingolipid metabolism 		ito980
r_0263	sce00600  sphingolipid metabolism 		
r_0264	sce00600  sphingolipid metabolism 		
r_0265	sce00600  sphingolipid metabolism 		
r_0266	sce00600  sphingolipid metabolism 		
r_0267	sce00600  sphingolipid metabolism 		ito980
r_0268	sce00600  sphingolipid metabolism 		ito980
r_0269	sce00600  sphingolipid metabolism 		ito980
r_0270	sce00600  sphingolipid metabolism 		ito980
r_0271	sce00520  amino sugar and nucleotide sugar metabolism 		
r_0272	sce00520  amino sugar and nucleotide sugar metabolism 		
r_0273	sce00564  glycerophospholipid metabolism 		
r_0274	sce00564  glycerophospholipid metabolism 	sce00440 Phosphonate and phosphinate metabolism	MNX
r_0278	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		ito980
r_0279	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		ito980
r_0280	sce00020  citrate cycle gpi cycle) 	sce00630 Glyoxylate and dicarboxylate metabolism   sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0281	sce00900  terpenoid backbone biosynthesis 		
r_0282	sce00900  terpenoid backbone biosynthesis 		
r_0283	sce00900  terpenoid backbone biosynthesis 		
r_0284	sce00900  terpenoid backbone biosynthesis 		
r_0285	sce00900  terpenoid backbone biosynthesis 		
r_0286	sce00900  terpenoid backbone biosynthesis 		
r_0287	sce00900  terpenoid backbone biosynthesis 		
r_0288	sce00900  terpenoid backbone biosynthesis 		
r_0289	sce00900  terpenoid backbone biosynthesis 		
r_0290	sce00900  terpenoid backbone biosynthesis 		
r_0291	sce00900  terpenoid backbone biosynthesis 		
r_0292	sce00900  terpenoid backbone biosynthesis 		
r_0293	sce00900  terpenoid backbone biosynthesis 		
r_0294	sce00900  terpenoid backbone biosynthesis 		
r_0295	sce00900  terpenoid backbone biosynthesis 		
r_0296	sce00900  terpenoid backbone biosynthesis 		
r_0297	sce00900  terpenoid backbone biosynthesis 		
r_0298	sce00900  terpenoid backbone biosynthesis 		
r_0299	sce00900  terpenoid backbone biosynthesis 		
r_0300	sce00020  citrate cycle gpi cycle) 	sce00630 Glyoxylate and dicarboxylate metabolism   sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0301	sce00020  citrate cycle gpi cycle) 	sce00630 Glyoxylate and dicarboxylate metabolism   sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0302	sce00020  citrate cycle gpi cycle) 	sce00630 Glyoxylate and dicarboxylate metabolism   sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0303	sce00020  citrate cycle gpi cycle) 	sce00630 Glyoxylate and dicarboxylate metabolism   sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0304	sce00860  porphyrin and chlorophyll metabolism 		
r_0306	sce00240  pyrimidine metabolism 		
r_0307	sce00240  pyrimidine metabolism 		
r_0308	sce00270  cysteine and methionine metabolism 	sce00450 Selenocompound metabolism	MNX
r_0309	sce00260  glycine, serine and threonine metabolism 	sce00270 Cysteine and methionine metabolism	ito980 and imm904
r_0310	sce00270  cysteine and methionine metabolism 	sce00260 Glycine, serine and threonine metabolism   sce00450 Selenocompound metabolism	ito980 and imm904
r_0311	sce00270  cysteine and methionine metabolism 	sce00450 Selenocompound metabolism   sce00920 Sulfur metabolism	MNX
r_0312	sce00270  cysteine and methionine metabolism 	sce00920 Sulfur metabolism	ito980
r_0313	sce00970  aminoacyl-trna biosynthesis 		
r_0314	sce00240  pyrimidine metabolism 		
r_0315	sce00240  pyrimidine metabolism 		
r_0317	sce00100  steroid biosynthesis 		
r_0318	sce00240  pyrimidine metabolism 	sce00330 Arginine and proline metabolism	MNX
r_0319	arabinose metabolism		ito980
r_0320	arabinose metabolism		ito980
r_0321	arabinose metabolism		ito980
r_0322	sce00010  glycolysis / gluconeogenesis 	sce00030 Pentose phosphate pathway   sce00051 Fructose and mannose metabolism	From ito980
r_0323	sce00051  fructose and mannose metabolism 	sce00040 Pentose and glucuronate interconversions	MNX
r_0326	sce00240  pyrimidine metabolism 		
r_0327	sce00240  pyrimidine metabolism 		
r_0328	sce00230  purine metabolism 		
r_0329	sce00240  pyrimidine metabolism 		
r_0330	sce00230  purine metabolism 		
r_0331	hypusine biosynthesis		ito980
r_0332	sce00030  pentose phosphate pathway 		
r_0334	sce00770  pantothenate and coa biosynthesis 		
r_0335	sce00780  biotin metabolism 		
r_0340	sce00600  sphingolipid metabolism 		
r_0341	sce00600  sphingolipid metabolism 		
r_0342	sce00600  sphingolipid metabolism 		
r_0343	sce00600  sphingolipid metabolism 		
r_0344	sce00790  folate biosynthesis 	sce00670 One carbon pool by folate	ito980
r_0345	sce00790  folate biosynthesis 	sce00670 One carbon pool by folate	ito980
r_0346	sce00790  folate biosynthesis 		
